g_ptsx,g_ptsy
0,1
5.00E-05,1
5.14E-05,0.901578496
5.33E-05,0.809900362
5.58E-05,0.724723783
5.94E-05,0.645806949
6.42E-05,0.572908045
7.07E-05,0.505785259
7.91E-05,0.444196778
8.98E-05,0.387900789
0.000103042,0.336655479
0.000119135,0.290219035
0.0001384,0.248349644
0.000161146,0.210805494
0.000187684,0.177344771
0.000218322,0.147725663
0.000253368,0.121706356
0.000293132,0.099045038
0.000337923,0.079499895
0.000388051,0.062829116
0.000443823,0.048790886
0.000505549,0.037143394
0.000573538,0.027644826
0.000648099,0.020053369
0.000729541,0.01412721
0.000818173,0.009624537
0.000914304,0.006303536
0.001018243,0.003922395
0.0011303,0.0022393
0.001250782,0.00101244
0.00138,0
