generation,energy
0,9.76435e-11
1,9.72513e-11
2,9.7217e-11
3,9.71041e-11
4,9.70622e-11
5,9.70749e-11
6,9.69388e-11
7,9.69824e-11
8,9.69767e-11
9,9.69849e-11
10,9.69231e-11
11,9.68963e-11
12,9.68761e-11
13,9.69867e-11
14,9.69485e-11
15,9.69655e-11
16,9.69508e-11
17,9.69319e-11
18,9.69403e-11
19,9.69308e-11
20,9.69084e-11
21,9.68702e-11
22,9.68854e-11
23,9.68579e-11
24,9.68363e-11
25,9.68013e-11
26,9.67306e-11
27,9.66482e-11
28,9.67801e-11
29,9.67382e-11
30,9.67228e-11
31,9.66801e-11
32,9.66795e-11
33,9.6697e-11
34,9.6675e-11
35,9.65865e-11
36,9.65899e-11
37,9.65899e-11
38,9.65782e-11
39,9.65782e-11
40,9.65522e-11
41,9.65386e-11
42,9.65289e-11
43,9.65265e-11
44,9.65147e-11
45,9.6483e-11
46,9.64292e-11
47,9.64595e-11
48,9.64424e-11
49,9.64397e-11
50,9.64298e-11
51,9.6408e-11
52,9.63973e-11
53,9.63698e-11
54,9.63607e-11
55,9.63758e-11
56,9.63668e-11
57,9.63251e-11
58,9.63279e-11
59,9.6315e-11
60,9.63146e-11
61,9.62898e-11
62,9.62795e-11
63,9.63096e-11
64,9.63041e-11
65,9.62767e-11
66,9.62326e-11
67,9.62579e-11
68,9.62687e-11
69,9.62792e-11
70,9.62598e-11
71,9.62432e-11
72,9.62472e-11
73,9.62475e-11
74,9.6227e-11
75,9.62407e-11
76,9.62616e-11
77,9.62288e-11
78,9.62425e-11
79,9.62446e-11
80,9.62352e-11
81,9.62196e-11
82,9.62144e-11
83,9.61604e-11
84,9.6158e-11
85,9.61515e-11
86,9.61551e-11
87,9.61495e-11
88,9.61171e-11
89,9.61016e-11
90,9.61025e-11
91,9.61015e-11
92,9.61037e-11
93,9.6079e-11
94,9.60921e-11
95,9.60948e-11
96,9.60927e-11
97,9.6077e-11
98,9.60637e-11
99,9.6051e-11
100,9.60513e-11
101,9.60508e-11
102,9.60453e-11
103,9.60324e-11
104,9.60047e-11
105,9.60257e-11
106,9.60172e-11
107,9.60157e-11
108,9.60078e-11
109,9.60032e-11
110,9.59959e-11
111,9.59885e-11
112,9.59838e-11
113,9.59783e-11
114,9.59698e-11
115,9.59743e-11
116,9.59693e-11
117,9.59855e-11
118,9.59758e-11
119,9.59677e-11
120,9.59747e-11
121,9.59707e-11
122,9.59602e-11
123,9.59662e-11
124,9.59656e-11
125,9.59557e-11
126,9.59669e-11
127,9.59667e-11
128,9.59637e-11
129,9.59542e-11
130,9.59497e-11
131,9.59286e-11
132,9.59227e-11
133,9.59286e-11
134,9.59303e-11
135,9.59337e-11
136,9.59267e-11
137,9.59285e-11
138,9.59068e-11
139,9.59235e-11
140,9.59106e-11
141,9.58982e-11
142,9.5901e-11
143,9.58954e-11
144,9.58903e-11
145,9.58917e-11
146,9.58835e-11
147,9.58765e-11
148,9.58764e-11
149,9.58733e-11
150,9.587e-11
151,9.5876e-11
152,9.588e-11
153,9.58795e-11
154,9.587e-11
155,9.58603e-11
156,9.58609e-11
157,9.58546e-11
158,9.58547e-11
159,9.58469e-11
160,9.58547e-11
161,9.58585e-11
162,9.58508e-11
163,9.58633e-11
164,9.58618e-11
165,9.58538e-11
166,9.58491e-11
167,9.58447e-11
168,9.58439e-11
169,9.58391e-11
170,9.58336e-11
171,9.58314e-11
172,9.583e-11
173,9.58214e-11
