g_ptsy,g_ptsx
1,0
1,5e-05
0.882462,5.14e-05
0.828726,5.33e-05
0.771716,5.58e-05
0.711018,5.94e-05
0.647911,6.42e-05
0.580457,7.07e-05
0.511204,7.91e-05
0.440946,8.98e-05
0.372059,0.000103042
0.306198,0.000119135
0.245,0.0001384
0.190001,0.000161146
0.142396,0.000187684
0.102865,0.000218322
0.0715003,0.000253368
0.0478431,0.000293132
0.0308729,0.000337923
0.0193174,0.000388051
0.0118261,0.000443823
0.00720038,0.000505549
0.00441713,0.000573538
0.00279007,0.000648099
0.00180998,0.000729541
0.00120692,0.000818173
0.000840053,0.000914304
0.00057162,0.00101824
0.00036299,0.0011303
0.000161092,0.00125078
0,0.00138
